舟山堂诗词稿目录　(1979.4─2020.8)
------------------------------------------------------------
(2) 五律•春游鳝溪　二首　　　　　　　　1979．⒋
(1) 雙調憶江南•午後春光　　　　　　　　2014．⒊
(1) 行香子•春分　　　　　　　　　　　　2014．⒊
(1) 賀新涼•小別　　　　　　　　　　　　2014．⒊
(1) 賀新涼•看雲　　　　　　　　　　　　2014．⒊
(1) 臨江仙•春雨　　　　　　　　　　　　2014．⒊
(1) 水調歌頭•雅安　　　　　　　　　　　2014．⒋
(1) 五律·初夏西雅圖　　　　　　　　　　2014．⒍
(1) 行香子•夏入雪峰　　　　　　　　　　2014．⒎
(1) 行香子•朝霞　　　　　　　　　　　　2014．⒐
(2) 天净沙•秋（二首）　　　　　　　　　2014．⒒
(1) 七律•冬晴　　　　　　　　　　　　　2015．⒈
(1) 高陽臺•写在情人节　　　　　　　　　2015．⒉
(1) 五言•佛州劳德戴尔机场　　　　　　　2015．⒊
(1) 水調歌頭•皖南行　　　　　　　　　　2016．⒌
(1) 五律•湖山漫步寄相思　　　　　　　　2016．⒊
(1) 五言•西安謠　　　　　　　　　　　　2016．⒌
(1) 行香子•京城會　　　　　　　　　　　2016．⒌
(1) 五律•俄勒冈海滩　　　　　　　　　　2017．⒐
(1) 五律•週年紀念　　　　　　　　　　　2017．⒐
(1) 新韵文诗•春天　　　　　　　　　　　2017．⒑
(1) 七律•夏威夷可愛島　　　　　　　　　2017．⒒
(1) 臨江仙•重聚　　　　　　　　　　　　2018．⒍
(2) 望海潮•新西蘭　　　　　　　　　　　2019．⒓
(1) 臨江仙•新西蘭萬納卡　　　　　　　　2019．⒓
(1) 行香子•新西蘭懷奧塔普　　　　　　　2019．⒓
(1) 七律•南島綠色　　　　　　　　　　　2019．⒓
(2) 七律•空留　　　　　　　　　　　　　2020．⒏
(1) 七律•赠周琳　　　　　　　　　　　　2020．⒒
(2) 七律•残秋　　　　　　　　　　　　　2020．⒒
(1) 七言•记梦　　　　　　　　　　　　　2020．⒓
(6) 南乡子•宇宙往事　　　　　　　　　　2020．⒓
(1) 菩萨蛮•嫦娥五号奔月归来　　　　　　2020．⒓
(2) 水调歌头•嫦娥五号　　　　　　　　　2020．⒓
(1) 行香子•赠周琳　　　　　　　　　　　2020．⒓
------------------------------------------------------------
　　以上留存詩詞凡二百一十三首




============================================================
舟山堂诗词稿
　　绍兴•竺晖宇昕

诗曰：
　　無边雲水翠屏中，有怀霜雪映古松。
　　异国星月家乡梦，他山亭台故土风。

　　词曲九十六首

　　　　天净沙·今韵斐济十题十八首 (2010.2)
　　　　一、胜地
雨林、绿冠、红花，椰风、碧浪、银沙。四时盛夏，天堂近在天涯。
　　　　二、美食
香蕉、芒果、木瓜，海鱼、螃蟹、龙虾。蚌蛤平价，三餐美味祭牙。
　　　　三、花草
河边树盖桠杈，田间翠浪清嘉。巨人山下，今天来看兰花。
藕莖荷影青蛙，淡黃紅粉蓮花。天然睡榻，清凉消暑解乏。
竹節红绿相夹，缤纷异木奇葩。琴心幽發，弹响一曲琵琶。
　　　　四、热雨
去时热晒汗颊，归来天暗如麻。迷濛飘洒，雾吹雾散雲崖。
忽然瓢泼倾斜，深林绿染泥洼。车飞如馬，追风追雨归家。
沿河兩岸蒹葭，入海婉轉如峽。鼓聲擊打，雨中快艦游筏。
　　　　五、民俗
罗宾逊岛夕霞，篝火晚会土茶。劲歌如伐，婀娜曼舞如滑。
热情岛语呱呱，迎宾草裙嚓嚓。古樸丰雅，重归亚当夏娃。
　　　　六、卡瓦
蔗田、棕榈、篱笆，乡村紫色人家。一杯『卡瓦』，麻翻多少游侠。
　　　　七、外岛
金银、南海、梳沙，邦迪、远钓、玛娜。玛玛努卡，风光这里最佳。
　　　　八、嬉浪
海边浮潜龟爬，累得四仰八叉。火烧麻辣，晒出一背刮痧。
三地美亚时差，四海來聚天涯。嬉笑玩耍，有你有我和她。
　　　　九、本土
花园酒店豪华，城镇远未发达。地無广厦，沿途不见警察。
链岛水上大巴，送迎来往玩家。游人休假，我生在此闲暇。
　　　　十、夕霞
芭蕉椰影疊加，荷香池畔瑜伽。夕陽描畫，天邊萬里彩霞。
南洋香格里拉，旅遊到此爲家。天天節假，浮雲不記年華。

　　　　天净沙·秋二首 (2014.11.08)
　　　　與周琳共填此詞於紗糸軒。
深秋、小镇、炊烟。汉堡、薯条、油煎。红叶一片，老人坐想从前。
丝巾、长裙、秋绵。白雲、银杏、蓝天。此情依舊、夕阳逝水流年。

　　　　忆江南·榕城春 (1982.9)
江南忆，犹忆是闽江。晨照波光千里远，晚来灯火两桥长。春风送雨凉。

　　　　渔歌子·大连风情小记 (1984.8)
水镇尘露踏海沙，渔乡烟雲恋夕霞。碧玉手，紫兰花，金风艳雨入人家。

　　　　调笑令·踏青 (1983.4)
芳草，芳草，报得春晖尽早。千里万里平冈，坡南坡北遍香。香遍，香遍，东望西望一片。

　　　　采桑子·湖趣 (1982.9)
傍湖坐卧听风雨，细雨萧萧，翠竹萧萧。荡水泊船人过桥。　　闲来好与钓翁话，蛙鸣悄悄，人语悄悄，山远天高任逍遥。

　　　　菩萨蛮·元夕 (1983.2)
霓虹摇醉鱼龙影，高窗帘卷人初醒。宝气宴金樽，香壶酒色昏。　　灯花迷碧树，望尽天涯路。夜雨竞豪华，春风入万家。

　　　　菩萨蛮·嫦娥五号奔月归来 (2020.12.18)
长征火举升空火，嫦娥采月蟾宫座。舞步一筹高，太空滑水漂。　　十年蓝图证，千载飞天梦。航测里程碑，收官绕落回。

　　　　水仙子·除夕 (1983.2)
一声鞭竹一声春，两点花灯两点明，三更烟火三更深。　　玉箫吹彻昆仑，叹人间岁岁风尘。酒落愁肠外，梦回野老村，又是新晨。

　　　　巫山一段雲·雲中飞行 (1984.8)
山雪积雲冷，烟湖流浪平。雨声惊散梦魂轻。迷眼看凡瀛。　　东海千帆静，蓬莱一粟晴。微风吹皱绿荷萍。南浦接阑汀。

　　　　忆秦娥·清明 (1985.1)
呜声咽，寒风泪雨雲遮月。雲遮月，长安街上，万民伤别。　　从今岁岁清明节，音容笑貌思难绝。思难绝，英灵常在，九天宫阙。

　　　　人月圆·十五 (1985.2)
烛花影里冬风暖，春雨响良宵。年年此景，华灯俱放，爆竹声嚣。　　星河飞翠，烟红雲绿，笑语轻飘。侯门歌舞，金窗绣户，豪厦琼瑶。

　　　　散曲·风雲健 (1986.11)
寄思花间下，無语怨西风。未知雲意，月何阴缺，晚山松。　　那堪寂寞三秋，不见伊容。一去逝無踪。向寒更、盼不到相思梦，恨情钟！
　　　　其二
爱也無由我，情也不由天。愁思悠悠，白雲淡淡，正清寒。　　怎禁冷落残杯，欲诉無言。独自去凭栏。是前生、注定了风月债，却难还。
　　　　批曰：残花对孤影，心乱恼無情。無时或忘，斯病甚矣。

　　　　少年游·寄友 (1983.5)
班荆说故，穿窗叠影，清酒夜幽阑。灯前长忆，莲池水暖，春雨碎低檐。　　欲共金樽同一刻，独自卷珠帘。为问何时重相见，冰轮满，梦情酣。

　　　　渔家傲·夜雨泊江 (1982.9)
暮落夜来阴雨袭，长帆收尽水流急。翻浪打湿船翁笠。对青壁，笛声吹荡寒风里。　　一曲新词思万里，江山渐起家乡忆。风晚渔歌音寂寂。梦侵泪，浩乐常使鱼龙泣。

　　　　散曲·寒夜别 (1989.1)
愁雲向晚，向寒风楼台、明月夜里。不见伊人重举袂，欲凝心中热泪。空怨松影不留情，折枝香素手，看尽两眸媚。　　烛窗孤盏对壁影，识遍闲愁滋味。宿酒难醒，梦里相寻，拼得糊涂醉。奈何情来仍無计，自从人去後，日日伤春水。

　　　　中吕·山坡羊·黃石公園 (2010.8)
樹椏似鹿，怪石如虎，谷深時有熊出入。雲卷舒，水成湖，松崗夕阳经萬古。看五彩熱泉慢把岁月煮。暮，地噴霧；曙，雲散霧。

　　　　中吕·山坡羊·高速攬勝 (2010.8)
森林似縷，峰巒如舉，重關險道磐石巨。雲徐徐，風吁吁，看不盡、層層路向身後去。秀色飽餐能幾許？水，也是綠；山，也是綠。
　　　　附周琳：漁歌子·路上行　2010.8
峻嶺崇山行路俠，青山碧水少人家。愛的河，蒙他拿，我來美國闖天涯。

　　　　雙調憶江南·午後春光 (2014.3)
春來也，花暖淡雲飄。日影穿林翻亮綠，柳聲飛葉倩新條。風舞自逍遙。　　心不老，詩意比天高。蔚海湖藍能看透，佳時美景最難邀。存想在今朝。

　　　　虞美人·伤春景 (1995.3)
危栏望断烟缥渺，绿水添烦恼。雲来山色有無中，寂寞春怀不解怨花红。　　微风细雨真無奈，聚散情和爱。此生还有万千愁，眼泪为她抛尽也难休。

　　　　虞美人·诉春情 (1995.11)
花柔色嫩胭脂雨，温沁香如玉。轻盈体态让人怜，解舞娇肢垂柳晚风前。　　芳心自警情思艳，尺素凭鱼雁。离愁转似各天涯，何日楚山雲雨会巫峡？

　　　　虞美人·想念二章 (2010.1)
　　　　其一·冬雲
別愁離緒何由去，昨夜疏狂雨。東風慣把海雲吹，一縷相思隔斷遠山眉。　　無時或忘她微笑，與我相偕老。幾多牽掛伴歸程，切記今生路上玉金盟。
　　　　其二·冬雲
冰窗凍雨人行錯，畫染層層墨。新離小別念難收，愛似一天不見也煩懮。　　淅淅瀝瀝屋檐上，續續低吟唱。問君何事枕無眠，惟愿今宵珍重夢輕恬。

　　　　南乡子·宇宙往事 (2020.12. Seattle)
　　　　其一·逝空
太始辟鸿濛，煮沸一锅量子羹。萬古银河流不尽，熵增。曲振超弦破暗声。　　星际叹生逢，乱世人心宇宙锋。黑洞慢看光逸去，奔腾。波粒维度在永恒。
　　　　其二·虚空
先古望星坑，不灭恒雲不灭灯。能量尽头成热寂，蒸蒸。静待时间流溢衡。　　断舍乱离崩，昨夜楼台此夜风。世事通达非太久，平生。一场虚無莫与争。
　　　　其三·视空
理想彩如虹，磁矩核旋引力钟。弯曲时空弯曲场，星宫。浩瀚無边望似穹。　　老去亦心童，何羡光年枉费功。视界平行不必再、匆匆。但信人生有始终。
　　　　其四·身空
滴水我为缸，星动涡旋宇宙光。雲想天心吞四海、八荒。思是加持意是疆。　　脑洞大开窗，不费轮回萬古熵。無量劫生無间道，阴阳。梦里蝶身入梦庄。
　　　　其五·相空
佛手拈如花，物我無心境最佳。一念不生不具相，坍塌。萬物思成似聚沙。　　妙想在天涯，遮断星雲哪几家？量子意识魂在气，叠加。随爱纠缠随爱杀。
　　　　其六·明空
曲率渡星帆，寂寞迷航逆旅寒。际会风雲留不住、光年。超限思维粒子船。　　性悟法心观，弹指成眠入定禅。無明而生在一念，三千。众妙之门秘又玄。
　　　　其七·梦空
再醒百年身，回首不识浩瀚辰。猎暗黑林谁试手？森森。一点灵华萬点魂。　　生死憎离分，雨散雲停爱俱焚。众物由心千百界，芸芸。悟到真时梦亦真。
　　　　其八·缘空
强弱电磁吸，亿兆星盘布似棋。大道無声凭有力，红移。穿越龙腾量子泥。　　成住坏空离，劫在千年命在期。三界念消一刹那，灯熄。缘起生生创世谜。
　　　　其九·岁空
举目望繁星，雲在浮尘影在瓶。坐井欲知恒古事，倾听。默默长河浩宇鸣。　　射电向天庭，动问回音岁几龄？道可非常非可道，無名。三体归一信必灵。

　　　　临江仙·惜春 (1994.3)
苔静长门凝暮霭，楼台一抹残霞。晚风情绪不归家。绿塘藏睡鹤，暗柳带栖鸦。　　已是分离独自苦，此身犹在天涯。闲愁容易逝年华。落红堆成阵，夜雨乱鸣笳。

　　　　临江仙·感赋 (1996.3)
寂寞楼台风起舞，寒空月上西窗。离愁别绪暗神伤。情丝堆又老，孤梦恨初长。　　恩爱一生谁与共？惟余诗赋文章。人情世故太凄凉。十年磨砺後，四海一空囊。

　　　　临江仙·會東 (2006.3)
脉脉远山雲积雪，春心漫染春红。五湖胜会友情浓，西来生番客，东海看飞鸿。　　记取疏狂年少梦，别来想见音容。今朝尽醉舞姿丰，珍惜明月夜，莫散太匆匆。

　　　　临江仙·春雨 (2014.03.28. Sammamish)
雲暗芳園失翠色，隱約霧裡湖山。東風送暖又歸寒。碎簷春雨夜，想起有晴天。　　或恐牽懷驚睡夢，孤窗默數更殘。絲絲縷縷付詩函。幾行相思句，燈下苦參研。

　　　　臨江仙·重聚 (2018.6)
敘古談今時入酒，聊聊夏夜方長。不羈年少意輕狂。好功千件記，糗事一籮筐。①　　別去江湖豪氣顯，更多幾許擔當。慢煮茗茶話同窗。眉間識舊影，「微信」有新章。②
　　　　①注〖此記和青同學少時為得獎勵拼湊上千件好事〗
　　　　②注〖微信：手機社交軟件〗

　　　　臨江仙·新西蘭萬納卡 (2019.12)
初破晴空積雪線，風吹雲見藍天。融冰化作水方圓。千頃湖波靜，一影樹孤單。　　小鎮咖啡飲品店，路邊盡享清閒。黑金鮑價百拾元。旦夕名望顯，眾口贊相傳。

　　　　蝶戀花·臘雪賀辰致琳兒 (2008.1)
昨夜冰封冬送雪，倦枕依窗，街岸人清絕。一片微光凝似月，滿園悄寂銀裝疊。　　萬念此時如玉潔，忘卻平凡，真義情難缺。今世但求無所别，明朝攜手凌山岳。

　　　　青玉案·除夕 (1984.2)
梦魂盼到雲楼暮，醉中认，繁华路。窗绿帘红人影故，灯深元夜，寒轻银树，歌舞寻呼处。　　冬风待雪听春度，万紫千花飞盈户。一片欢声随雨入。阶台碎响，迷天沉雾，欲引婵娟顾。

　　　　行香子·中秋 (2011.9)
淡淡疏晴，莽莽雲青。雨飛輕，落落残英。霓灯初上，晚照霞明。看夜方濃，秋方好，月方盈。　　華髮暗換，回首堪驚。為虛名，意氣難平。爭些圓缺，嘗盡輸贏。想古時闋，今時夢，此時情。

　　　　行香子·夜航·西雅圖至舊金山 (2011.9)
睏意嗡鳴，睡念猶輕。暮色凝，夜燈和平。暫拋塵務，漸入深靈。正雲機行，俗機去，禪機明。　　人生遽夢，世事繁盈。似時空，變換無凴。縱非顯達，亦有真情。但隨了心，成了願，忘了名。

　　　　行香子·金門橋 (2011.9. San Francisco)
霧鎖金門，幾近無痕。水連塵，迷陣橫陳。天香繚繞，氣象平吞。漸路彎失，山彎斷，海灣深。　　重重似障，密密如森。最難尋，至理真身。一點靈犀，萬物承恩。照波光鱗，雲光亂，霞光沉。

　　　　行香子·贈楊大夫 (2011.9)
指按陰陽，針下柔剛。問疾康，經略良方。懸壺濟世，救病扶傷。聚醫廬功，金廬氣，茶廬香。　　率真天性，老成文章。無私藏，解惑傾囊。人情故我，笑談飛揚。仰學林尊，雲林壽，杏林長。

　　　　行香子·陰雨加州海岸 (2011.9)
十七哩灘，南去三藩。棧橋邊，浪影爭帆。紅黃岸草，飛鳥漁船。望崖石高，礁石暗，淺石淹。　　酒樓華麗，街巷舒閑。路宛延，葉茂枝繁。清幽緑地，錦綉花園。襯雲紗青，婚紗白，海紗藍。

　　　　行香子·舊金山藝術宮 (2011.9)
一片湖潭，半壁雕垣。巨門懸，高柱擎天。鵝行影緑，鴿點漪漣。讓水流長，雲流散，景留連。　　森森藝殿，偉偉穹觀。有時間，見證良緣。風風雨雨，愛愛歡歡。記暖情閑，花晴好，真情綿。

　　　　行香子·貝克山蘇克衫峰 (2011.10)
遠望飛鷹，暢想身輕。萬仞迎，空谷獨行。高岩絕壁，勝似閑庭。待暮雲紅，流雲聚，岭雲平。　　峰迴路轉，彎急坡停。看崖晴，深澗心驚。入秋顔色，水墨濃盈。趁松山明，湖山凈，雪山青。

　　　　行香子·火燒天宮 (2014.2)
夕照如铜，畫染晴松。望天蓝，似海深穹。千帆逐陣，萬浪随風。聚雲飛霞，霞飛墨，墨飛紅。　　逆旅人生，過客凡功。與佳景，際遇而逢。一时妙筆，雨雪消融。讓夢成虚，虚成幻，幻成空。
　　　　附周琳：行香子·霞映雪峰·遥應舟山
雲卷蛟龍，橫掃苍穹。曙光明，氣勢金虹。雪峰破霧，百鸟齐衝。看天如緞，霞如箭，山如弓。　　欢喜人生，谁解其中？似佳景，稍縱即空。朝陽之下，料峭霜重。取意當切，情當永，爱當浓。

　　　　English version: A Vanilla Song

        Sunset light brown,
        On the trees and stone
        Deep blue as sea,
        Vast sky up high grown
        Clouds form battle array,
        Waving out an open zone
        In the ink, in the color,
        In this tone

        Life is a time loan,
        By interest rate unknown
        Enjoy the moment,
        With family or alone,
        Of the beauty and peace
        Before it is gone
        Be the dream, be the love,
        Be your own

　　　　行香子·春分 (2014.3)
貪看春光，滿目芬芳。湛藍天，深海之窗。青松翠溢，櫻樹姿揚。讓花心醉，草新綠，人新妝。　　經雨風霜，生命徜徉。雪連山，薄霧微茫。斑駁斜影，詩意深藏。願雲留住，歲流金，水流長。

　　　　行香子·夏入雪峰 (2014.07.12. Granite Falls)
高嶺重巒，暑氣消殘。水窮處，野趣營盤。松林花徑，光影斑斕。看冬凝玉，春流澗，夏成潭。　　地聚峰連，古化熔岩。千年雪，陸海奇緣。山陰背後，滴水洞前。數四冰窟，兩坡綠，一天藍。

　　　　行香子·朝霞 (2014.09.23. Sammamish)
一線黎明，數點晨燈。曙光昇，破霧層層。松林薄靄，遠嶺微朦。漸天如海，雲如火，雪如橙。　　分隔兩地，思念偕行。人生路，亦師亦朋。親容迥慕，地久心恆。願情添濃，歲添永，愛添增。
　　　　附周琳原詞 (2014.09.22. Narrows Drive)
入夜秋風，雨打窗燈。　青階臺，落葉層層。何時邀夢，趁影迷朦。待雪山晴，湖水綠，楓林橙。　　一十七載，你我同行。閱詩書，似伴如朋。有愛如此，不求永恆。知情常在，思不斷，念相增。
　　　　又满江红·纪念日 (2014.09.25)
　　　　無所求，但得相守；無所留，成詩一首。週年兩分，故言此序，曰：年年譜新意，歲歲有情珍。草作贈妙侶，閱後請即焚。
方過中秋節，轉眼入秋分。匆匆三周半月，辛苦費心神。培訓兼職翻譯，教學融於娛戲，導遊購物村。忙騰累妳尓①，累克花生屯②。　　勤人事，拼努力，熬昏晨。萬機料理，不厭細節與公文。尊愛才情公理，篤信家庭友義，付出有情真。值此佳辰賦，寄書相思人。
　　　　①注【忙騰累妳尓】諧音 Mount Rainier (美国雷尼尔雪山国家公园)。
　　　　②注【累克花生屯】諧音 Lake Washington (美国华州华盛顿湖)。

　　　　行香子·京城會 (2016.05.16)
學業同修，年少同俦。光陰似、浪里飛舟。晶莹雨露，淘盡而收。記一昔友、一席酒、一夕篝。　　岁月長流，綿綿難休。今朝聚，舊地重游。經年一别，惟誼永留。願情得厚、念得久、志得酬。

　　　　行香子·新西蘭懷奧塔普 (2019.12)
雲卷雲舒，風聚風離。霧吹開，時隱時晰。仙人會海，萬象輕騎。見一巒青、一峰雪、一山迷。　　地火流年，千古為期。密林間，暫忘俗機。岩漿猶烈，熱氣不息。暖一泉湯、一溝水、一潭泥。

　　　　行香子·读水之物理形态喻赠周琳 (2020.12)
纯水無冰，尘入而凝。界三态，固状膨晶；液流不朽，气化为轻。属坚而硬，洁而净，透而明。　　人亦随名，物里存灵。敏思细，睿智刚英。雪聪似玉，眸慧如星。有镜中影，眼中梦，心中情。

　　　　满江红·清明 (1983.5)
一往情深，今又是寒食祭节。名万古，一年一度、哀思先烈。犹记当年家国恨，志矢解放民族业。传救国，妙手著文章，言词切。　　求良策，尽心血。奋国群，党人结。为中华崛起，飞腾世界。高筑神州风雨楼，遍开共产红花叶。看至今、回首字無痕，清明月。

　　　　满江红·致周琳 (1997.3)
已忘柔情，偏又是，柔情困阻。人如玉，眉峰疏淡，风姿楚楚。梦里身形挥不去，胸中绮想奔难住。怕别离，容易负相思，痴成误。　　一份爱，深几许；缘两处，何时聚？似滴滴点点，万丝千缕。前世为寻一知己，今生来共君相遇。看两眸，一笑解春心，温存语。

　　　　附周琳《西江月》一首　2012.09.23
林中遍寻翠竹，落日尽闪余晖，海上茫茫飛细雨，此情依旧如新。　　四面环山翠绿，十里麦田金黄，五岳哪有此山强，岁岁年年不忘。
注：上闋各句尾字及下闋各句首字（諧音）合成此詞標題。

　　　　高陽臺·情若在、当是节　2015.02.14
　　　　與周琳共填此詞於紗糸軒以祝情人節快樂。
彩卡一方，鲜花一束，商家描绘成图。美酒杯紅，难呈携侣征途。送迎晩照和晨露，有爱時，萬事心舒。岁华浮，功朽名消，竹翠林疏。　　真情不在情人节，在分分你我，秒秒雲殊。在葉之秋，在春雁阵成書。在經風雨彩虹後，再回眸，恋似当初。在能乎，终世相扶，至老相如。

　　　　水调歌头·中秋 (1998.9)
明月起遥想，思绪渐情稠。前番一别数日，仿佛已三秋。细数窗前风景，看破晴空雲影，睹物略生愁。天赐好人愿，佳梦枕边留。　　两眸炯，颦妩媚，语温柔。真情相守，平淡之处忘烦忧。共筑二人天地，足慰平生快意，一样雄心酬。美酒赋良辰，相对咏高楼。

　　　　水調歌頭·會東 (2006.3)
滿目朢新綠，北美又春風。如花似火心緒，裝點自然紅。故國回眸一笑，牵動纏思無數，時逝太匆匆。再聚五湖客，慷慨論英雄。　　凌雲志，比翼夢，少年同。而今飛越、重山疊水喜相逢。彻夜殷勤挚語，對酒高歌放醉，盡興在其中。借我豪情墨，揮畫向長空。

　　　　附联：同学盛会
同学同窗同龄同梦不同事业各抒壮志情怀四方同此一刻；
